[2026-06-04 13:24:13,430] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:24:20,013] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:24:21,628] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:30:01,534] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:30:01,897] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:30:12,367] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:30:25,930] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:30:26,117] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:30:32,475] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:30:33,056] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:33:15,725] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:33:16,090] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:33:31,138] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:33:31,907] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:33:35,126] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:33:35,856] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:33:38,873] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:33:39,467] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:34:44,173] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:34:44,520] INFO in request_logger: POST | /auth/login | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:34:58,495] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:34:59,085] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:35:03,135] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:35:03,812] INFO in request_logger: POST | /predictions/predict | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:35:08,383] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=0
[2026-06-04 13:35:08,939] INFO in request_logger: GET | /dashboard | IP=127.0.0.1 | STATUS=200
[2026-06-04 13:44:35,242] INFO in request_logger: POST | /auth/signup | IP=127.0.0.1 | STATUS=0
